"plant_id","chinese_name","scientific_name","plant_type","light_condition","flower_color","flower_color_group","leaf_color","leaf_color_group","display_type","flower_impact","has_seasonal_image"
"001","細葉杜鵑","Rhododendron indicum","灌木","全日照/半日照","紅、粉紅、白","暖色系/中性色","濃深綠（細小葉片、緻密質感、略帶光澤）","深綠系","flowering,evergreen","3","0"
"002","波士頓腎蕨","Nephrolepis exaltata","草本","半日照/陰","無","無花色/不顯著","鮮亮黃綠（細羽狀、柔軟質感）","亮綠系","foliage","0","0"
"003","紅仙丹花","Ixora coccinea","灌木","全日照","紅","暖色系","深綠（厚葉、光澤感強、質地緊密）","深綠系","flowering,evergreen","3","0"
"004","香茅天竺葵","Pelargonium graveolens","草本","全日照/半日照","淡粉紅","暖色系","灰綠（裂葉、細緻質感、略帶絨毛）","灰綠銀葉系","foliage,flowering","1","0"
"005","迷迭香","Salvia rosmarinus","灌木","全日照","淡紫、藍紫","冷色系","灰綠（細針葉、略帶銀感、乾性質地）","灰綠銀葉系","foliage,flowering,evergreen","1","0"
"006","立鶴花","Thunbergia erecta","灌木","全日照/半日照","紫、淡紫（中心黃）","冷色系","中綠（小葉、柔軟、略有光澤）","中綠系","flowering,evergreen","2","0"
"007","紅花玉芙蓉","Leucophyllum frutescens","灌木","全日照","紫、粉紫","冷色系","銀灰綠（絨毛感、霧面、乾性質地）","灰綠銀葉系","oliage,flowering,evergreen","2","0"
"008","木槿","Hibiscus syriacus","灌木","全日照/半日照","粉紅、紫、白、藍紫","暖色系/冷色系/中性色","中綠（略粗質感、霧面、三裂葉、落葉灌木）","中綠系","flowering,seasonal","3","0"
"009","山茶花","Camellia japonica","灌木/小喬木","半日照/全日照","紅、粉紅、白","暖色系/中性色","深綠（厚葉、高光澤、革質感）","深綠系","flowering,evergreen","3","0"
"010","細葉粉撲花","Calliandra haematocephala","灌木/小喬木","全日照/半日照","紅、粉紅、白","暖色系/中性色","中綠（羽狀細葉、輕柔質感、略帶層次感）","中綠系","flowering,evergreen","3","0"
"011","鑽石仙丹花","Ixora ‘Crimson Star’","灌木","全日照/半日照","紅","暖色系","深綠（小葉、光滑、緻密、略帶光澤）","深綠系","flowering,evergreen","3","0"
"012","黃花鳶尾","Iris pseudacorus","草本","全日照/半日照","黃","暖色系","藍綠（劍形葉、挺直、略帶灰感）","灰綠銀葉系","flowering,seasonal","2","0"
"013","文殊蘭","Crinum asiaticum","草本","全日照/半日照","白","中性色","深綠（帶光澤、厚質、帶蠟感、長帶狀）","深綠系","foliage,flowering,evergreen","2","0"
"014","黃金露花","Duranta erecta","灌木/小喬木","全日照/半日照","紫、藍紫、白","冷色系/中性色","黃綠（或中綠；小葉、光滑、略帶光澤）","亮綠系","flowering,evergreen,foliage","2","0"
"015","金禾女貞","Ligustrum ‘Vicaryi’","灌木","全日照/半日照","白","中性色","黃綠（新葉亮黃、成熟轉黃綠、細小葉、略帶光澤）","亮綠系","foliage,evergreen","1","0"
"016","金鑽變葉木","Codiaeum variegatum","灌木","全日照/半日照","白（不顯著）","無花色/不顯著","黃綠、橙黃、綠（高彩度、斑葉、光澤強）","斑葉彩葉系","foliage,evergreen","0","0"
"017","錫蘭葉下珠","Phyllanthus myrtifolius","灌木","全日照/半日照","綠、淡粉（不顯著）","無花色/不顯著","中綠（細小葉、羽狀排列、質感細緻、略帶光澤）","中綠系","foliage,evergreen","0","0"
"018","斑葉福祿桐","Polyscias balfouriana ‘Variegata’","灌木","全日照/半日照/半陰","白（不顯著）","無花色/不顯著","綠、乳白、淡黃（斑葉、細裂葉、輕柔質感、略帶光澤）","斑葉彩葉系","foliage,evergreen","0","0"
"019","薄荷","Mentha spp.","草本","全日照/半日照","白、淡紫、粉紫","冷色系/中性色","鮮綠～深綠（鋸齒葉、略皺、柔軟質感）","亮綠系","foliage,flowering,evergreen","1","0"
"020","到手香(左手香)","Plectranthus amboinicus","草本","半日照/全日照","淡紫、淡粉紫","冷色系","灰綠（厚葉、多肉質、絨毛感、低彩度）","灰綠銀葉系","foliage,evergreen","1","0"
"021","黃連木","Pistacia chinensis","喬木","全日照","綠（不顯著）","無花色/不顯著","深綠（羽狀複葉、光滑、秋季轉黃橙紅）","季節變色系","foliage,seasonal","0","1"
"022","細葉紫葳","Lagerstroemia indica","喬木/灌木","全日照","紅、粉紅、紫、白","暖色系/冷色系/中性色","深綠（光滑、略帶光澤，秋季轉黃橙紅）","季節變色系","flowering,seasonal","3","1"
"023","朴樹","Celtis sinensis","喬木","全日照/半日照","黃綠（不顯著）","無花色/不顯著","深綠（略帶光澤、橢圓葉、秋季轉黃）","季節變色系","foliage,seasonal","0","1"
"024","櫸樹","Zelkova serrata","喬木","全日照/半日照","黃綠（不顯著）","無花色/不顯著","深綠（細緻葉、略粗糙，秋季轉黃橙紅）","季節變色系","foliage,seasonal","0","1"
"025","茄冬","Bischofia javanica","喬木","全日照/半日照","黃綠（不顯著）","無花色/不顯著","深綠（光滑、有光澤、三出複葉）","深綠系","foliage,evergreen","0","0"
